price_vnd,sim_number
1666048.034934498,776260543
4308333.333333333,822977488
4679671.457905544,707963979
754915.2542372881,344134986
2401869.1588785048,795718118
3404837.4060150376,974828772
8715428.57142857,818999191
3011401.8475750578,329730568
20428571.42857143,585444777
2251050.0699464837,904179189
3011401.8475750578,343759368
2897222.222222222,342855345
1313559.3220338982,763644188
2693535.3535353537,943784318
1330799.2202729045,335342968
37333333.333333336,588086886
2693535.3535353537,858130713
828128.5634432643,375808339
3209585.895953757,367527866
6477222.222222222,764011368
2174993.830787309,378569788
3869084.9342770474,931209686
12377083.333333334,386495666
1465517.2413793104,776266263
914233.5766423357,327007239
2693535.3535353537,947428605
1446329.2117465225,944036827
3982666.6666666665,901889987
3404837.4060150376,967267781
2673970.5555555555,327010400
5488888.888888889,911047555
1818536.1216730038,943669689
3632414.710485133,375935639
1790806.0109289617,943533543
3757581.254355401,865161510
1589144.204851752,769739123
3632414.710485133,326160839
2977777.777777778,865660789
5690000.0,814398899
3757581.254355401,983279854
4667786.764705882,352089198
5000000.0,886696996
2693535.3535353537,942536206
47295153.239685655,362153153
2251050.0699464837,904950956
1843750.0,912441993
1580000.0,852218557
1100938.9671361502,773357857
2436360.381861575,971451456
4360000.0,828593838
11585169.491525425,888886216
3153261.515601783,941193095
2436360.381861575,964758789
1186473.4299516908,925659669
4576336.898395722,931395779
4768421.052631579,823459393
875000.0,901255661
26100000.0,767186868
1767857.142857143,762551966
2235504.2016806724,708076336
15875803.38983051,384050888
3209585.895953757,976670701
10829166.666666666,368804994
2048586.1182519281,932342542
3011401.8475750578,328178586
677419.3548387097,879301068
13069655.172413792,784123789
8764864.864864865,797669666
11096917.808219178,825563678
1818536.1216730038,919026866
685538.0577427822,879591269
29491518.133458648,853957957
10000000.0,338111186
1479818.8874514878,708066061
1589144.204851752,702758123
2251050.0699464837,934109125
2399839.4495412842,326588813
87680851.0638298,775928888
1789383.5616438356,763766123
1446329.2117465225,941744298
1985796.130952381,762615611
3666666.6666666665,933002268
2631655.172413793,329333046
2520529.197080292,888985859
271666666.6666667,345657888
2251050.0699464837,909138507
3757581.254355401,978626369
13736173.469387755,979999307
2251050.0699464837,898582989
11137096.774193548,566103779
2251050.0699464837,936180407
3869084.9342770474,931847086
2421458.3333333335,362259468
685538.0577427822,879197985
3757581.254355401,981579269
2296296.296296296,846634234
12000000.0,339952555
4501823.2044198895,827131616
3757581.254355401,973232724
3358695.652173913,828430567
187500000.0,377737373
3757581.254355401,986152024
4582695.810564663,365262777
2174993.830787309,343870388
655421.686746988,344283889
5037650.602409638,779802666
1113888.888888889,866275552
1000000.0,898822121
1357974.1379310344,983248444
2251050.0699464837,763590592
4898750.0,966993107
3011401.8475750578,343274286
2251050.0699464837,795690697
1946052.6315789474,908179900
828128.5634432643,336232039
4898750.0,866998923
4180514.705882353,343788939
2454996.301775148,948874921
3757581.254355401,867023502
4500000.0,907667893
2693535.3535353537,942517151
14203636.363636363,939267979
3209585.895953757,326849066
2251050.0699464837,902571757
2251050.0699464837,763749745
3011551.857585139,799098432
4679671.457905544,932320279
2583333.3333333335,947645566
6500000.0,775666866
2174993.830787309,343745288
8123303.7694013305,358190886
2673970.5555555555,342717008
634943.1818181818,984934446
3011551.857585139,799163543
1035714.2857142857,702644722
28234206.896551725,343992888
3572685.1441241684,971201184
10619444.444444444,812002888
4557142.857142857,357770239
2401869.1588785048,796010110
685538.0577427822,879484131
3265585.651936716,342141996
879096.9899665551,866985676
6154785.714285715,981037997
1446329.2117465225,945441689
32570094.06512301,795626262
1685779.552715655,974861231
4679671.457905544,932305439
894851.4851485149,373433577
1479818.8874514878,762626621
5000000.0,819008833
4589500.0,862266168
675467.0999187652,974430243
3632414.710485133,343698439
1685779.552715655,865187892
3757581.254355401,865196496
1835150.3759398495,922781379
7710824.742268041,769888846
6475000.0,962111661
828128.5634432643,335704939
3209585.895953757,343586366
3209585.895953757,364134766
9505797.101449275,383296886
1685779.552715655,325671319
4900000.0,707999779
910216.3009404389,334361388
3011551.857585139,799171764
2251050.0699464837,938583969
3896621.621621622,889626656
4092721.518987342,945990718
5104988.344988345,787283555
3757581.254355401,965262087
3011551.857585139,799184584
2396635.259631491,334271204
3011401.8475750578,385681586
1666048.034934498,762771961
3153261.515601783,812011983
1685779.552715655,983642348
21265079.365079366,856167979
1589144.204851752,767131345
3000000.0,929115579
5541666.666666667,567379779
3632414.710485133,356125139
2552727.272727273,792423222
1832500.0,333241788
6059259.259259259,899936386
1000000.0,707365563
8000000.0,522011998
2251050.0699464837,909265095
4294968.717413973,818040868
2520529.197080292,888546454
2235504.2016806724,903301913
2251050.0699464837,938292595
2862500.0,866247778
2634396.355353075,384754779
6000000.0,911117717
3632414.710485133,865406939
3265585.651936716,329572399
14203636.363636363,706027979
1085656.836461126,976111032
1790806.0109289617,943823307
3632414.710485133,862984079
2251050.0699464837,708086084
8775000.0,942166622
607142.8571428572,335260001
3011401.8475750578,568103168
2436360.381861575,343294234
1100938.9671361502,773362676
2693535.3535353537,813861315
8400000.0,365444443
29449000.0,358525525
36200000.0,788888335
3757581.254355401,961580359
12800000.0,888866991
2396635.259631491,343310591
2833333.3333333335,763538338
3011401.8475750578,865918568
3265585.651936716,523991981
2048586.1182519281,905123254
3302325.581395349,854100300
3265585.651936716,862943499
16172564.516129032,367879677
3632414.710485133,329082839
1685779.552715655,865686780
3265585.651936716,326854399
2251050.0699464837,702131982
2454996.301775148,889797356
521327.0142180095,879160884
2384051.724137931,398137788
1479818.8874514878,763746646
3159230.769230769,908697333
2251050.0699464837,762621961
3622388.0597014925,933838386
3757581.254355401,987948476
5119787.685774947,966689610
3757581.254355401,369891985
4823076.923076923,936330133
3632414.710485133,868652679
1528156.5656565656,868929993
5119787.685774947,968366658
2251050.0699464837,898529313
1500000.0,898311227
15875803.38983051,375760888
1057360.4060913706,375954554
675467.0999187652,344280184
873699.4219653179,926368118
8123303.7694013305,965034886
6157792.207792208,845678283
3632414.710485133,352159179
3757581.254355401,965148524
506097.56097560975,877152366
925000.0,862982228
2174993.830787309,376295388
3779000.0,911690139
2176470.588235294,775687678
3209585.895953757,865396766
8300000.0,798666622
988732.3943661972,333417699
3011401.8475750578,386736286
1983606.5573770492,932338688
10000000.0,855996899
5104988.344988345,769264555
6900000.0,918358338
1500435.499515034,332892966
3757581.254355401,343982017
2634396.355353075,327762139
2251050.0699464837,762512812
3572685.1441241684,979702011
2251050.0699464837,762701983
2174993.830787309,342847889
3632414.710485133,342872939
1100938.9671361502,773372543
2673970.5555555555,979100610
2098684.210526316,966184579
11184920.106524633,847423678
2436360.381861575,368285789
3757581.254355401,327943969
3757581.254355401,986252050
3011401.8475750578,382356268
1010416.6666666666,762644811
2693535.3535353537,949470392
2048586.1182519281,762534537
11666666.666666666,876246888
565176.9087523278,877010683
4928888.888888889,789106969
2396635.259631491,926363359
521327.0142180095,879258288
10834375.0,888863879
3600000.0,964444083
10090000.0,349228488
1437500.0,936995595
3632414.710485133,329041639
1606250.0,336503337
3632414.710485133,329490639
2454996.301775148,889505697
4294968.717413973,856865986
3153261.515601783,919101141
11184920.106524633,827314678
1589144.204851752,795701012
3446428.5714285714,388855922
1446329.2117465225,944091367
1475000.0,888675505
2251050.0699464837,702692392
4669054.711246201,865989538
2693535.3535353537,945080959
1000000.0,795593345
1876153.8461538462,328004699
3853636.3636363638,786877774
3011551.857585139,705939799
14778260.869565217,818367779
5000000.0,837666279
3757581.254355401,326090693
638297.8723404255,877117577
4525186.104218362,836989879
16461538.461538462,793778899
3757581.254355401,865987654
4823032.511210762,985625562
1000000.0,786552233
1085656.836461126,325711141
3757581.254355401,921697980
4679671.457905544,763539439
3615384.6153846155,833181886
5217241.379310345,901884588
6750000.0,827555886
13054545.454545455,335830000
80000000.0,819111666
3209585.895953757,328480669
3265585.651936716,326147299
190573650.40650406,398059999
1070568.0272108843,335190600
4919778.481012658,769319939
3757581.254355401,383240191
9307692.307692308,707355556
4823032.511210762,987552019
944444.4444444445,522341984
3757581.254355401,989160975
30870370.37037037,838858999
3833043.4782608696,369967386
3758168.3168316833,925122009
4168190.661478599,943743227
1136363.6363636365,944300694
1598838.7978142076,942771970
6641379.310344827,931624777
3632414.710485133,867514679
3869084.9342770474,934965486
4679671.457905544,762401379
3011551.857585139,909969612
4525186.104218362,854218639
3000000.0,783669900
3000000.0,762226666
3632414.710485133,342986379
3011551.857585139,906176990
10352500.0,328661886
11184920.106524633,813297678
11585169.491525425,888882687
4388888.888888889,798779886
2098684.210526316,369766079
4609943.181818182,522041994
2673970.5555555555,523982008
7892857.142857143,829012368
2396635.259631491,339021797
828128.5634432643,968381339
7733333.333333333,814066686
3869084.9342770474,768179568
2454996.301775148,816868988
3757581.254355401,964903258
5104988.344988345,782149555
1666048.034934498,898325774
4180514.705882353,358892939
2696153.846153846,335886636
3404837.4060150376,983967785
5000000.0,971197789
2693535.3535353537,948108910
1928571.4285714286,938221148
2673970.5555555555,927502008
5188461.538461538,325222007
1821428.5714285714,763556551
12650000.0,965665665
3757581.254355401,352397169
8123303.7694013305,979880568
828128.5634432643,336736239
67071428.571428575,799972972
2251050.0699464837,708137131
1330799.2202729045,332121286
5000000.0,941144664
500000.0,877111822
24150000.0,779183838
12236363.636363637,766669868
3441057.991513437,332712499
